Course code,Course Name,Course Type,tt
MA7011,Advanced topics in commutative algebra,PG,
MA7013,Fourier analysis on eucidean spaces,PG,
MA7014,Riemann surfaces and algebraic curves,PG,
MA7015,Introduction to cryptology,PG,
MA7040,Advanced probability theory,PG,
MA7531,Combinatorics tool kit,PG,
MA7557,Random graphs and complex networks,PG,
MA7654,Algebraic combinatorics,PG,
MA7830,Advanced algebra,PG,
MA7840,Analysis,PG,
MA7850,Advanced differential equations,PG,
MA7860,Discrete mathematics,PG,
MA7870,Game dynamics,PG,
MA7880,Advanced stochastic processes,PG,
MA7890,Advanced algebraic topology,PG,
MA7999,Special topics in mathematics,PG,
MA5310,Linear algebra,PG,
MA5320,Algebra 1,PG,
MA5330,Real analysis,PG,
MA5370,Multivariable calculus,PG,
MA5390,Ordinary differential equations,PG,
MA5400,Probability theory,PG,
MA5340,Measure and integration,PG,
MA5350,Combinatorics,PG,
MA5360,Complex analysis,PG,
MA5380,Topology,PG,
MA5470,Numerical analysis,PG,
MA5920,Partial differential equations,PG,
SEM,Seminar / programming lab,PG,
MA5450,Functional analysis,PG,
MA6650,Elective ix / project,PG,
MA5013,Applied regression analysis,PG,
MA5014,Applied stochastic processes,PG,
MA5125,Mathematical theory of waves,PG,
MA5311,Linear systems theory,PG,
MA5312,Stochastic differential equations,PG,
MA5313,Introduction to mathematical statistics,PG,
MA5460,Transform techniques,PG,
MA5490,Fluid dynamics,PG,
MA5950,Mathematical finance,PG,
MA5016,Ergodic theory,PG,
MA5017,Representation theory,PG,
MA5140,Introduction to algebraic topology,PG,
MA5220,Continuum mechanics,PG,
MA5314,Differential geometry of manifolds,PG,
MA5315,Differential topology,PG,
MA5316,Combinatorial topology,PG,
MA5325,Linear programming: theory and algorithm design,PG,
MA5430,Algebra ii,PG,
MA5440,Combinatorics and number theory,PG,
MA5510,Algebra analysis and probability in combinatorics,PG,
MA5750,Applied statistics,PG,
MA5850,Operations research,PG,
MA5890,Numerical linear algebra,PG,
MA6001,Introduction to coding theory,PG,
MA6002,Appromimation theory,PG,
MA6003,Theory of wavelets,PG,
MA6004,Fractals,PG,
MA6005,Applied linear algebra,PG,
MA6006,Applied integral equations,PG,
MA6007,Nonlinear partial differential equations,PG,
MA6050,Dynamical systems,PG,
MA6060,Nonlinear conservation laws,PG,
MA6080,Fourier analysis,PG,
MA6090,Sobolev spaces and applications to pde,PG,
MA6110,Topics in advanced analysis,PG,
MA6120,Advanced complex analysis,PG,
MA6140,Fixed point theory and applications,PG,
MA6150,Basic operator theory,PG,
MA6180,Introduction to algebraic geometry,PG,
MA6190,Mathematical logic,PG,
MA6200,Theory of computation,PG,
MA6210,Combinatorial optimization,PG,
MA6230,Graph theory,PG,
MA6270,Numerical solutions of partial differential equations,PG,
MA6312,Mathematical theory of games,PG,
MA6360,Optimization techniques,PG,
MA6420,Algebraic theory of codes and automata,PG,
MA6460,Computational fluid dynamics,PG,
MA6470,Commutative algebra,PG,
MA6480,Galois theory,PG,
MA6490,Introduction to algebraic number theory,PG,
MA5710,Mathematical modelling in industry,PG,
MA5741,Object oriented programming,PG,
MA5892,Numerical methods & scientific computing,PG,
MA5910,Data structures & algorithms,PG,
MA5755,Data analysis & visualization in r/python/sql,PG,
MA5770,Modelling workshop,PG,
MA5895,Numerical optimization,PG,
MA6270,Numerical solution of pde,PG,
MA6380,Stochastic methods in industry,PG,
MA5960,Project proposal and progress,PG,
MA5990,Final project,PG,
MA5221,Tensor analysis and applications,PG,
MA5011,Advanced graph theory,PG,
MA5790,Computer modelling and simulation,PG,
MA5940,Finite element method and applications,PG,
MA6008,Theory of bioinspired computing,PG,
MA1101,Functions of several variables,UG,
MA1102,Series and matrices,UG,
MA2010,Complex variables,UG,
MA2020,Differential equations,UG,
MA2030,Linear algebra and numerical analysis,UG,
MA2031,Linear algebra for engineers,UG,
MA2040,Probability stochastic process and statistics,UG,
MA2060,Discrete mathematics,UG,
MA2130,Basic graph theory,UG,
